LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)"
LT01185,5361919.0,ceftriaxone,1984.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,HH,non-hepatotixic,Positive,Postive,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7c6b995b-264f-494c-8c10-6c12b02c214e,2
LT01842,5578.0,trimethoprim,1980.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,HH,non-hepatotixic,Positive,Postive,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=24daed1d-d20b-4b39-bfa3-efaf05c00380,2
LT00036,5353990.0,tetracycline,1953.0,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1(C2CC3C(C(=O)/C(=C(\N)/O)/C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eaa5b1bd-0927-46e4-b941-32fcc492d258,1
LT00289,2955.0,dapsone,1979.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0792169d-c6f9-4af0-93ae-b75d710c47a9,2
LT00166,1046.0,pyrazinamide,1971.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CN=C(C=N1)C(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ecee3128-a47f-4ced-a1db-4f58c5f3e9c6,1
LT00098,3339.0,fenofibrate,1993.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2fe0bbd6-47a4-4836-beb1-0b635e3ab647,1
LT00013,2907.0,cyclophosphamide,1959.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1CNP(=O)(OC1)N(CCCl)CCCl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=369e6911-66bd-4544-9901-cf887fdf1dc2,1
LT00068,2726.0,chlorpromazine,1957.0,Less-DILI-Concern,2,Adverse reactions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b9d57be1-17cb-42ac-8334-ef3494be7f17,1
LT00335,31703.0,doxorubicin,1974.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,Hepatotoxic,Positive,Postive,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=21d9c619-7e94-49e2-ac41-31e9ea96554a,2
LT01225,29029.0,clindamycin,1970.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,CCC[C@@H]1C[C@H](N(C1)C)C(=O)NC([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)C(C)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab7233b1-b68e-458b-9e1d-4fc3fa15e8b6,2
